Local time,Open,High,Low,Close,Volume
02.01.2020 00:00:00.000 GMT+0200,1.32463,1.32661,1.31152,1.31349,243378.28999999998
03.01.2020 00:00:00.000 GMT+0200,1.31349,1.31600,1.30531,1.30787,178718.62859999997
06.01.2020 00:00:00.000 GMT+0200,1.30808,1.31745,1.30633,1.31685,146956.8597
07.01.2020 00:00:00.000 GMT+0200,1.31685,1.32120,1.30948,1.31189,174270.18949999998
08.01.2020 00:00:00.000 GMT+0200,1.31143,1.31694,1.30799,1.30918,202531.2189
09.01.2020 00:00:00.000 GMT+0200,1.30919,1.31233,1.30126,1.30660,188620.701
10.01.2020 00:00:00.000 GMT+0200,1.30660,1.30968,1.30422,1.30569,147920.36020000002
13.01.2020 00:00:00.000 GMT+0200,1.30347,1.30450,1.29608,1.29868,145775.46909999996
14.01.2020 00:00:00.000 GMT+0200,1.29868,1.30329,1.29542,1.30130,151534.2371
15.01.2020 00:00:00.000 GMT+0200,1.30130,1.30420,1.29850,1.30374,136865.78999999998
16.01.2020 00:00:00.000 GMT+0200,1.30374,1.30828,1.30252,1.30784,139573.85099999997
17.01.2020 00:00:00.000 GMT+0200,1.30784,1.31184,1.30050,1.30058,150598.6905
20.01.2020 00:00:00.000 GMT+0200,1.29915,1.30132,1.29617,1.30077,96349.0099
21.01.2020 00:00:00.000 GMT+0200,1.30076,1.30831,1.29952,1.30473,135620.58940000003
22.01.2020 00:00:00.000 GMT+0200,1.30474,1.31525,1.30343,1.31379,164191.1398
23.01.2020 00:00:00.000 GMT+0200,1.31379,1.31508,1.30966,1.31193,137676.53179999997
24.01.2020 00:00:00.000 GMT+0200,1.31193,1.31739,1.30565,1.30701,150653.83980000002
27.01.2020 00:00:00.000 GMT+0200,1.30799,1.31050,1.30395,1.30555,119704.70000000001
28.01.2020 00:00:00.000 GMT+0200,1.30571,1.30649,1.29752,1.30272,118773.7092
29.01.2020 00:00:00.000 GMT+0200,1.30272,1.30282,1.29892,1.30153,96014.50059999998
30.01.2020 00:00:00.000 GMT+0200,1.30191,1.31099,1.29773,1.30909,146921.1983
31.01.2020 00:00:00.000 GMT+0200,1.30908,1.32090,1.30775,1.32014,151791.6696
03.02.2020 00:00:00.000 GMT+0200,1.31766,1.31837,1.29827,1.29928,160655.18
04.02.2020 00:00:00.000 GMT+0200,1.29928,1.30464,1.29410,1.30293,167061.6901
05.02.2020 00:00:00.000 GMT+0200,1.30293,1.30697,1.29560,1.30005,165924.78110000002
06.02.2020 00:00:00.000 GMT+0200,1.30017,1.30017,1.29211,1.29238,130300.13010000001
07.02.2020 00:00:00.000 GMT+0200,1.29238,1.29589,1.28813,1.28818,155273.13909999997
10.02.2020 00:00:00.000 GMT+0200,1.28843,1.29459,1.28716,1.29141,131783.2803
11.02.2020 00:00:00.000 GMT+0200,1.29129,1.29679,1.28941,1.29468,132824.07059999998
12.02.2020 00:00:00.000 GMT+0200,1.29448,1.29914,1.29349,1.29576,773981.6998000001
13.02.2020 00:00:00.000 GMT+0200,1.29569,1.30693,1.29439,1.30413,920076.2598000001
14.02.2020 00:00:00.000 GMT+0200,1.30372,1.30634,1.30009,1.30455,644835.4835
17.02.2020 00:00:00.000 GMT+0200,1.30324,1.30537,1.29977,1.30040,100350.7804
18.02.2020 00:00:00.000 GMT+0200,1.30040,1.30486,1.29705,1.29953,153896.76840000003
19.02.2020 00:00:00.000 GMT+0200,1.29953,1.30229,1.29072,1.29144,149352.44929999998
20.02.2020 00:00:00.000 GMT+0200,1.29143,1.29281,1.28488,1.28759,122620.5695
21.02.2020 00:00:00.000 GMT+0200,1.28757,1.29806,1.28730,1.29529,159369.64029999994
24.02.2020 00:00:00.000 GMT+0200,1.29449,1.29543,1.28864,1.29253,166287.06889999998
25.02.2020 00:00:00.000 GMT+0200,1.29253,1.30179,1.29140,1.30038,188191.6375
26.02.2020 00:00:00.000 GMT+0200,1.30037,1.30077,1.28953,1.28953,189660.8209
27.02.2020 00:00:00.000 GMT+0200,1.28927,1.29462,1.28599,1.28839,214455.81979999997
28.02.2020 00:00:00.000 GMT+0200,1.28839,1.29195,1.27255,1.28125,255919.9009
02.03.2020 00:00:00.000 GMT+0200,1.27879,1.28503,1.27394,1.27518,265113.1106000001
03.03.2020 00:00:00.000 GMT+0200,1.27517,1.28438,1.27387,1.28125,269217.0193
04.03.2020 00:00:00.000 GMT+0200,1.28124,1.28721,1.27698,1.28698,192243.51009999998
05.03.2020 00:00:00.000 GMT+0200,1.28698,1.29683,1.28603,1.29485,167679.35139999996
06.03.2020 00:00:00.000 GMT+0200,1.29474,1.30517,1.29453,1.30459,266828.3487
08.03.2020 23:00:00.000 GMT+0200,1.30726,1.32003,1.30342,1.31226,357413.64910000004
09.03.2020 23:00:00.000 GMT+0200,1.31248,1.31270,1.28809,1.29017,324896.8421
10.03.2020 23:00:00.000 GMT+0200,1.29012,1.29765,1.28035,1.28117,235352.8005
11.03.2020 23:00:00.000 GMT+0200,1.28179,1.28487,1.24899,1.25653,318001.47010000004
12.03.2020 23:00:00.000 GMT+0200,1.25653,1.26240,1.22597,1.22673,365865.10150000005
15.03.2020 23:00:00.000 GMT+0200,1.22617,1.24214,1.22015,1.22674,407028.1211000001
16.03.2020 23:00:00.000 GMT+0200,1.22674,1.22734,1.20009,1.20499,437725.40160000004
17.03.2020 23:00:00.000 GMT+0200,1.20495,1.21294,1.14497,1.16141,390703.9921
18.03.2020 23:00:00.000 GMT+0200,1.15803,1.17930,1.14720,1.14837,430707.76090000005
19.03.2020 23:00:00.000 GMT+0200,1.14837,1.19334,1.14095,1.16301,412067.97680000006
22.03.2020 23:00:00.000 GMT+0200,1.16693,1.17133,1.14462,1.15372,427443.6423
23.03.2020 23:00:00.000 GMT+0200,1.15180,1.17989,1.14952,1.17488,423415.14069999993
24.03.2020 23:00:00.000 GMT+0200,1.17454,1.19730,1.16383,1.18842,366661.0290000001
25.03.2020 23:00:00.000 GMT+0200,1.18575,1.22292,1.17752,1.21997,406800.9213
26.03.2020 23:00:00.000 GMT+0200,1.21949,1.24851,1.21306,1.24448,418011.93929999997
29.03.2020 23:00:00.000 GMT+0200,1.24283,1.24656,1.23166,1.24171,267213.25029999996
30.03.2020 23:00:00.000 GMT+0200,1.24042,1.24725,1.22419,1.24163,642017.6996999999
31.03.2020 23:00:00.000 GMT+0200,1.24224,1.24464,1.23297,1.23730,568543.0737000001
