Local time,Open,High,Low,Close,Volume
02.01.2020 00:00:00.000 GMT+0200,1.32463,1.32661,1.32457,1.32555,23773.7502
02.01.2020 04:00:00.000 GMT+0200,1.32554,1.32559,1.32017,1.32130,21438.2295
02.01.2020 08:00:00.000 GMT+0200,1.32133,1.32304,1.32059,1.32140,30246.1099
02.01.2020 12:00:00.000 GMT+0200,1.32141,1.32146,1.31711,1.31764,45750.0801
02.01.2020 16:00:00.000 GMT+0200,1.31764,1.31942,1.31152,1.31339,101011.27050000001
02.01.2020 20:00:00.000 GMT+0200,1.31343,1.31452,1.31249,1.31349,21158.849799999996
03.01.2020 00:00:00.000 GMT+0200,1.31349,1.31600,1.31308,1.31372,15806.279999999999
03.01.2020 04:00:00.000 GMT+0200,1.31374,1.31432,1.31155,1.31207,24093.6699
03.01.2020 08:00:00.000 GMT+0200,1.31207,1.31236,1.30663,1.30675,43896.2397
03.01.2020 12:00:00.000 GMT+0200,1.30675,1.31093,1.30531,1.30719,35749.5293
03.01.2020 16:00:00.000 GMT+0200,1.30720,1.30987,1.30672,1.30879,37789.2095
03.01.2020 20:00:00.000 GMT+0200,1.30878,1.30896,1.30705,1.30787,21383.7002
06.01.2020 00:00:00.000 GMT+0200,1.30808,1.30877,1.30633,1.30788,14083.9502
06.01.2020 04:00:00.000 GMT+0200,1.30788,1.30899,1.30788,1.30808,9844.2597
06.01.2020 08:00:00.000 GMT+0200,1.30808,1.31482,1.30638,1.31429,44492.3399
06.01.2020 12:00:00.000 GMT+0200,1.31432,1.31743,1.31343,1.31403,35773.02
06.01.2020 16:00:00.000 GMT+0200,1.31403,1.31745,1.31330,1.31589,31140.23
06.01.2020 20:00:00.000 GMT+0200,1.31588,1.31685,1.31553,1.31685,11623.0599
07.01.2020 00:00:00.000 GMT+0200,1.31685,1.31785,1.31643,1.31713,13495.690200000001
07.01.2020 04:00:00.000 GMT+0200,1.31714,1.31755,1.31531,1.31538,11672.0398
07.01.2020 08:00:00.000 GMT+0200,1.31539,1.32120,1.31408,1.31728,42708.4292
07.01.2020 12:00:00.000 GMT+0200,1.31727,1.31734,1.31020,1.31179,47949.7003
07.01.2020 16:00:00.000 GMT+0200,1.31179,1.31391,1.30948,1.31273,38414.56
07.01.2020 20:00:00.000 GMT+0200,1.31273,1.31371,1.31134,1.31189,20029.77
08.01.2020 00:00:00.000 GMT+0200,1.31143,1.31264,1.31047,1.31166,20471.620000000003
08.01.2020 04:00:00.000 GMT+0200,1.31166,1.31398,1.31158,1.31174,22871.8999
08.01.2020 08:00:00.000 GMT+0200,1.31173,1.31694,1.31105,1.31203,43759.1397
08.01.2020 12:00:00.000 GMT+0200,1.31190,1.31360,1.30799,1.31217,55387.8594
08.01.2020 16:00:00.000 GMT+0200,1.31217,1.31392,1.30827,1.31048,42127.42
08.01.2020 20:00:00.000 GMT+0200,1.31047,1.31059,1.30918,1.30918,17913.279899999998
09.01.2020 00:00:00.000 GMT+0200,1.30919,1.31139,1.30917,1.31115,15326.689600000002
09.01.2020 04:00:00.000 GMT+0200,1.31115,1.31187,1.31037,1.31163,11047.52
09.01.2020 08:00:00.000 GMT+0200,1.31164,1.31233,1.30170,1.30279,46277.0312
09.01.2020 12:00:00.000 GMT+0200,1.30271,1.30689,1.30126,1.30522,51376.0605
09.01.2020 16:00:00.000 GMT+0200,1.30522,1.30688,1.30330,1.30611,31321.0699
09.01.2020 20:00:00.000 GMT+0200,1.30611,1.30677,1.30539,1.30660,33272.3298
10.01.2020 00:00:00.000 GMT+0200,1.30660,1.30722,1.30595,1.30631,9998.8699
10.01.2020 04:00:00.000 GMT+0200,1.30634,1.30834,1.30601,1.30821,10255.760299999998
10.01.2020 08:00:00.000 GMT+0200,1.30821,1.30911,1.30479,1.30675,34240.1805
10.01.2020 12:00:00.000 GMT+0200,1.30676,1.30968,1.30500,1.30691,41363.020000000004
10.01.2020 16:00:00.000 GMT+0200,1.30691,1.30776,1.30422,1.30615,39830.5195
10.01.2020 20:00:00.000 GMT+0200,1.30613,1.30643,1.30534,1.30569,12232.009999999998
13.01.2020 00:00:00.000 GMT+0200,1.30347,1.30450,1.30287,1.30388,9611.1498
13.01.2020 04:00:00.000 GMT+0200,1.30387,1.30410,1.30249,1.30324,10852.6599
13.01.2020 08:00:00.000 GMT+0200,1.30324,1.30324,1.29647,1.29722,39811.8001
13.01.2020 12:00:00.000 GMT+0200,1.29723,1.29940,1.29608,1.29839,39588.7392
13.01.2020 16:00:00.000 GMT+0200,1.29840,1.29987,1.29750,1.29951,32331.1001
13.01.2020 20:00:00.000 GMT+0200,1.29951,1.30031,1.29854,1.29868,13580.02
14.01.2020 00:00:00.000 GMT+0200,1.29868,1.30002,1.29819,1.29911,15813.849900000001
14.01.2020 04:00:00.000 GMT+0200,1.29911,1.30020,1.29881,1.29881,12521.6001
14.01.2020 08:00:00.000 GMT+0200,1.29887,1.29935,1.29542,1.29721,31191.2988
14.01.2020 12:00:00.000 GMT+0200,1.29721,1.30138,1.29667,1.29901,38566.3091
14.01.2020 16:00:00.000 GMT+0200,1.29898,1.30247,1.29871,1.30213,39457.2695
14.01.2020 20:00:00.000 GMT+0200,1.30213,1.30329,1.30128,1.30130,13983.9097
15.01.2020 00:00:00.000 GMT+0200,1.30130,1.30243,1.30130,1.30232,9604.4703
15.01.2020 04:00:00.000 GMT+0200,1.30229,1.30331,1.30184,1.30321,10490.9002
15.01.2020 08:00:00.000 GMT+0200,1.30319,1.30420,1.29850,1.29914,31053.7095
15.01.2020 12:00:00.000 GMT+0200,1.29912,1.30289,1.29876,1.30084,33401.3902
15.01.2020 16:00:00.000 GMT+0200,1.30084,1.30378,1.30070,1.30328,37548.8501
15.01.2020 20:00:00.000 GMT+0200,1.30328,1.30389,1.30225,1.30374,14766.469700000001
16.01.2020 00:00:00.000 GMT+0200,1.30374,1.30582,1.30364,1.30438,11181.9101
16.01.2020 04:00:00.000 GMT+0200,1.30438,1.30521,1.30398,1.30479,11133.4402
16.01.2020 08:00:00.000 GMT+0200,1.30479,1.30647,1.30252,1.30532,29513.0108
16.01.2020 12:00:00.000 GMT+0200,1.30534,1.30745,1.30488,1.30491,28909.75
16.01.2020 16:00:00.000 GMT+0200,1.30491,1.30828,1.30313,1.30739,46201.8599
16.01.2020 20:00:00.000 GMT+0200,1.30739,1.30789,1.30622,1.30784,12633.880000000001
17.01.2020 00:00:00.000 GMT+0200,1.30784,1.30790,1.30635,1.30668,10600.5299
17.01.2020 04:00:00.000 GMT+0200,1.30670,1.30800,1.30670,1.30740,10697.510199999999
17.01.2020 08:00:00.000 GMT+0200,1.30740,1.31184,1.30400,1.30554,38865.9594
17.01.2020 12:00:00.000 GMT+0200,1.30550,1.30666,1.30263,1.30450,43861.7109
17.01.2020 16:00:00.000 GMT+0200,1.30451,1.30486,1.30159,1.30235,34294.0303
17.01.2020 20:00:00.000 GMT+0200,1.30234,1.30242,1.30050,1.30058,12278.949799999999
20.01.2020 00:00:00.000 GMT+0200,1.29915,1.30085,1.29915,1.30011,10319.409899999999
20.01.2020 04:00:00.000 GMT+0200,1.30010,1.30057,1.29932,1.29939,7953.0501
20.01.2020 08:00:00.000 GMT+0200,1.29938,1.30013,1.29617,1.29841,25127.7696
20.01.2020 12:00:00.000 GMT+0200,1.29841,1.30083,1.29766,1.30008,22347.0801
20.01.2020 16:00:00.000 GMT+0200,1.30007,1.30026,1.29823,1.29995,17191.3401
20.01.2020 20:00:00.000 GMT+0200,1.29994,1.30132,1.29967,1.30077,13410.3601
21.01.2020 00:00:00.000 GMT+0200,1.30076,1.30107,1.29952,1.30003,10397.9502
21.01.2020 04:00:00.000 GMT+0200,1.30003,1.30211,1.29983,1.30122,11576.7199
21.01.2020 08:00:00.000 GMT+0200,1.30122,1.30450,1.29953,1.30397,29043.9297
21.01.2020 12:00:00.000 GMT+0200,1.30397,1.30831,1.30348,1.30731,36322.7896
21.01.2020 16:00:00.000 GMT+0200,1.30731,1.30733,1.30390,1.30454,31651.1499
21.01.2020 20:00:00.000 GMT+0200,1.30454,1.30605,1.30384,1.30473,16628.0501
22.01.2020 00:00:00.000 GMT+0200,1.30474,1.30535,1.30394,1.30477,12097.890199999998
22.01.2020 04:00:00.000 GMT+0200,1.30477,1.30611,1.30343,1.30575,11836.9499
22.01.2020 08:00:00.000 GMT+0200,1.30573,1.30677,1.30374,1.30608,26281.5102
22.01.2020 12:00:00.000 GMT+0200,1.30611,1.31351,1.30554,1.31306,50324.2794
22.01.2020 16:00:00.000 GMT+0200,1.31306,1.31525,1.31204,1.31282,47279.3204
